QID,domain,subdomain,question,imageURL,options,answer,explaination
18,Solid State,Amorphous Solids,"In the simple cubic cell, each corner atom is shared by __________",0,"['eight unit cells', 'one unit cell', 'two unit cells', 'six unit cells']",a,"The unit cell in which the constituent atoms are present only at the corner is known as simple cubic cell. It is also referred to as a primitive cubic cell. In the simple cubic cell, each corner atom is shared by eight different unit cells."
19,Solid State,Amorphous Solids,The points which shows the position of atoms in crystal are called as _________,0,"['crystal lattice', 'crystal parameters', 'bravais lattice', 'lattice point']",d,The point at which the atoms may be present on the unit cell is termed as lattice point. It shows the position of atoms in crystal.
20,Solid State,Amorphous Solids,"The unit cell with a≠b≠c and α=γ=90, β≠90 refers to __________crystal system.",0,"['cubic', 'tetragonal', 'monoclinic', 'triclinic']",c,"In monoclinic crystal system, all the three axes are unequal in length and two axes are perpendicular to each other. Gypsum and borax are examples of monoclinic crystals."
21,Solid State,Amorphous Solids,Which type of solid crystals will conduct heat and electricity?,0,"['Ionic', 'Covalent', 'Molecular', 'Metallic']",d,Metallic crystals consist of metal cations surrounded by a sea of mobile valence electrons. These electrons are capable of moving through the entire crystal. The metallic crystals conduct heat and electricity due to the presence of these mobile electrons in them.
22,Solid State,Amorphous Solids,Which is not a characteristic of crystalline solids?,0,"['They undergo a clean cleavage', 'They are true solids', 'They are isotropic', 'They have sharp melting points']",c,"Amorphous solids are isotropic that is they have identical properties in all directions, whereas crystalline solids are anisotropic that is they have different properties in different directions."
23,Solid State,Amorphous Solids,Which of the following is a characteristic of amorphous solid?,0,"['They are true solids', 'They have sharp melting points', 'They undergo clear cleavage', 'They are isotropic']",d,Amorphous solids are isotropic that is they have identical properties in all directions. The remaining options are the characteristics of crystalline solids.
24,Solid State,Amorphous Solids,Solids are classified as ___________,0,"['crystalline and ionic solids', 'metallic and amorphous solids', 'molecular and covalent solids', 'crystalline and amorphous solids']",d,"Based on their crystal structures, solids are classified as crystalline and amorphous solids. In crystalline solids, the constituent particles are arranged in a regular manner. In amorphous solids, the constituent particles are not arranged in any regular manner."
25,Solid State,Amorphous Solids,Quartz is an example of ___________,0,"['molecular solids', 'ionic solids', 'covalent solids', 'metallic solids']",c,"Quartz is a common example of covalent solids. In covalent solids, the constituent particles are attached to each other by covalent bonds. Diamond, graphite, silicon are other examples of covalent solids."
26,Solid State,Amorphous Solids,Solid carbon dioxide is an example of _________,0,"['metallic crystal', 'covalent crystal', 'ionic crystal', 'molecular crystal']",d,"Solid CO<sub>2</sub> is an example of molecular crystal. These solids have molecules as their constituent particles. These solids may be bonded by vander waals’ forces or by dipole-dipole attraction or by strong hydrogen bonds. H<sub>2</sub>, Cl<sub>2</sub>, I<sub>2</sub> are some examples of molecular solids."
27,Solid State,Crystalline Solids,Which of the following consists of either atoms or molecules formed by non polar covalent bonds?,0,"['Non polar molecular solid', 'Metallic solid', 'Polar molecular solid', 'Ionic solid']",a,Non polar molecular solids consists of either of the atoms or molecules formed by non polar covalent bonds. Metallic solids and ionic solids consist of free mobile electrons and ions respectively. Whereas polar molecular solids are formed by polar covalent bonds.
28,Solid State,Crystalline Solids,Polar molecular solids are _________,0,"['bad conductors of electricity', 'good conductors of electricity', 'solid at room temperature', 'brittle']",a,"In polar molecular solids, the molecules are formed by covalent bonds and held together by strong dipole-dipole interaction. Therefore, polar molecular solids are non-conductors of electricity."
29,Solid State,Crystalline Solids,The molecules in polar molecular solid are held together by __________,0,"['dipole-dipole interaction', 'london forces', 'ionic bond', 'metallic bond']",a,The force responsible for holding together the molecules of polar molecular solids is dipole-dipole force of attraction. Polar molecular solids are non-conductors of electricity.
30,Solid State,Crystalline Solids,Which of the following tend to be volatile liquids or soft solids at room temperature and pressure?,0,"['', 'Non polar molecular solids', 'Metallic solids', 'Polar molecular solids', 'Hydrogen bonded molecular solids']",d,"In hydrogen bonded molecular solid, the intermolecular forces are strong hydrogen bonds. Hence, it tends to be volatile liquids or soft solids at room temperature and pressure."
31,Solid State,Crystalline Solids,Which type of solids are formed by three-dimensional arrangement of cations and anions bound by strong electrostatic force?,0,"['Polar molecular solids', 'Ionic solids', 'Covalent solids', 'Metallic solids']",b,Ionic solids are made up of three dimensional arrangement of cations and anions bound by strong electrostatic force.
32,Solid State,Crystalline Solids,Which of the following is non-conductor of electricity at solid state but can conduct electricity in the molten state or when dissolved in water?,0,"['Non polar molecular solids', 'Metallic solids', 'Ionic solids', 'Hydrogen bonded molecular solids']",c,"Ionic Solids, when dissolved in water, tend to separate cations and the anions which allows the solution to conduct electricity. Also, they have high melting and boiling points."
33,Solid State,Crystalline Solids,Which of the following is an orderly collection of positive ions surrounded and held together by a sea of electrons?,0,"['Gas', 'Non-metal', 'Metal', 'Metalloids']",c,Metal is said to be an orderly collection of positive ions surrounded and held together by a sea of delocalized electrons. These delocalized electrons are mobile and are responsible for the conduction of electricity.
34,Solid State,Crystalline Solids,Which of the following are responsible for high electrical and thermal conductivity of a metal?,0,"['Ions', 'Covalent bonds', 'Free H+ ions', 'Free and mobile electrons']",d,Each atom of a metal gives one or more electrons towards the sea of mobile electrons it is surrounded by which ultimately contributes to the electrical and thermal conductivity of the metal.
35,Solid State,Crystalline Solids,Which of the following is not a characteristic of metals?,0,"['Lustre', 'Ductile', 'Malleable', 'Brittle']",d,"Metals are lustrous, ductile and malleable. They cannot be brittle. Non-metals tend to be brittle in their solid state."
36,Solid State,Crystalline Solids,Which type of crystalline solid is also called as giant molecules?,0,"['Ionic solids', 'Covalent solids', 'Polar molecular solids', 'Metallic solids']",b,"Covalent solids consists of a long chain of covalent bonds between the adjacent molecules throughout the crystal. Hence, they are called giant molecules. They are hard and brittle in nature."
37,Solid State,Crystal Lattices & Unit Cells,Which of the following is regarded as the ‘repeatable entity’ of a 3D crystal structure?,0,"['Unit cell', 'Lattice', 'Crystal', 'Bravais Index']",a,"Unit cell is the smallest entity of a crystal lattice which, when repeated in space (3 dimensions) generates the entire crystal lattice. Lattice comprises of the unit cells which hold all the particles in a particular arrangement in 3 dimensions. Crystal is a piece of homogenous solid and Bravais indices are used to define planes in crystal lattices in the hexagonal system."
38,Solid State,Crystal Lattices & Unit Cells,Which of the following unit cells has constituent particles occupying the corner positions only?,0,"['Body-centered cell', 'Primitive cell', 'Face centered cell', 'End-centered cell']",b,"According to classification of unit cells, a primitive unit cell is one which has all constituent particles located at its corners. BCC has one particle present at the center including the corners. FCC has an individual cell shared between the faces of adjacent cells. End centered cells have cells present at centers of two opposite faces."
39,Solid State,Crystal Lattices & Unit Cells,What is the coordination number of a body-centered unit cell?,0,"['6', '12', '8', '4']",c,"Coordination number of a unit cell is defined as the number of atoms/ions that surround the central atom/ion. In the case of BCC, the central particle is surrounded by 8 particles hence, 8."
40,Solid State,Crystal Lattices & Unit Cells,Which of the following arrangements of particles does a simple cubic lattice follow?,0,"['ABAB', 'AABB', 'ABCABC', 'AAA']",d,"Simple cubic lattice results from 3D close packing from 2D square-packed layers. When one 2D layer is placed on top of the other, the corresponding spheres of the second layer are exactly	 on top of the first one. Since both have the same, exact arrangement it is AAA type."
41,Solid State,Crystal Lattices & Unit Cells,"If a crystal lattice has 6 closed-pack spheres, what the number of tetrahedral voids in the lattice?",0,"['12', '6', '36', '3']",a,"For a crystal lattice, if there are N close-packed spheres the number of tetrahedral voids are 2N and number octahedral voids are N. For N=6, number of tetrahedral voids = 2 × 6 = 12."
42,Solid State,Crystal Lattices & Unit Cells,Which of the following possess anisotropic nature within their structure?,0,"['Hair wax', 'Snowflakes', 'Polythene', 'Crystal glass']",b,"Crystalline solids possess anisotropic nature within their structure. Anisotropy is the directional dependence of a property. Meaning, a property within the crystal structure will have different values when measured in different directions. Snowflake is a crystalline solid whereas the rest are amorphous solids."
43,Solid State,Crystal Lattices & Unit Cells,Identify the dimensional relation for the unit cell illustrated below.,0,"['<noscript><img alt=""Dimensional relation for unit cell is orthorhombic unit cell with all sides are unequal"" class=""alignnone size-full wp-image-294899"" height=""186"" src=""https://www.sanfoundry.com/wp-content/uploads/2020/10/chemistry-questions-answers-solid-state-crystal-lattices-unit-cells-q7.png"" width=""135""/></noscript><img alt=""Dimensional relation for unit cell is orthorhombic unit cell with all sides are unequal"" class=""lazyload alignnone size-full wp-image-294899"" data-src=""https://www.sanfoundry.com/wp-content/uploads/2020/10/chemistry-questions-answers-solid-state-crystal-lattices-unit-cells-q7.png"" height=""186"" src=""data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20135%20186%22%3E%3C/svg%3E"" width=""135""/>', 'a = b = c', 'a = b ≠  c', 'a ≠ b ≠ c', 'a ≠ b = c']",c,"The given figure represents an orthorhombic unit cell. Experimentally, it is determined that for orthorhombic unit cells a ≠ b ≠ c. All sides are unequal. It results from extension of cube along two pairs of orthogonal sides by two distinct factors."
44,Solid State,Crystal Lattices & Unit Cells,A compound is formed by atoms of elements A occupying the corners of the unit cell and an atom of element B present at the center of the unit cell. Deduce the formula of the compound.,0,"['AB<sub>2</sub>', 'AB<sub>3</sub>', 'AB<sub>4</sub>', 'AB']",d,"The description is of a BCC. For BCC, each atom at the corner is shared by 8 unit cells. One atom at the center wholly belongs to the corresponding unit cell."
45,Solid State,Crystal Lattices & Unit Cells,Atoms of element X form a BCC and atoms of element Y occupy 3/4<sup>th</sup> of the tetrahedral voids. What is the formula of the compound?,0,"['X<sub>2</sub>Y<sub>3</sub>', 'X<sub>3</sub>Y<sub>2</sub>', 'X<sub>3</sub>Y<sub>4</sub>', 'X<sub>4</sub>Y<sub>3</sub>']",a,"The number of tetrahedral voids form is equal to twice the number of atoms of element X. Number of atoms of Y is 3/4<sup>th</sup> the number of tetrahedral voids i.e. 3/2 times the number of atoms of X. Therefore, the ratio of numbers of atoms of X and Y are 2:3, hence X<sub>2</sub>Y<sub>3</sub>."
46,Solid State,Crystal Lattices & Unit Cells,What is the total volume of the particles present in a body centered unit cell?,0,"['8πr<sup>3</sup>', '\\(\\frac{8}{3}\\)πr<sup>3</sup>', '\\(\\frac{16}{3}\\)πr<sup>3</sup>', '\\(\\frac{32}{3}\\)πr<sup>3</sup>']",b,"Since particles are assumed to be spheres and volume of one sphere is \(\frac{4}{3}\)πr<sup>3</sup>, total volume of all particles in BCC = 2 x \(\frac{4}{3}\)πr<sup>3</sup>=\(\frac{8}{3}\)πr<sup>3</sup> since a BCC has 2 particles per cell."
47,Solid State,Crystal Lattices & Unit Cells,If the aluminum unit cell exhibits face-centered behavior then how many unit cells are present in 54g of aluminum?,0,"['1.2042 x 10<sup>24</sup>', '5.575 x 10<sup>21</sup>', '3.011 x 10<sup>23</sup>', '2.4088 x 10<sup>24</sup>']",c,Atomic mass of Al = 27g/mole (contains 6.022 x 10<sup>23</sup> Al atoms)
48,Solid State,Crystal Lattices & Unit Cells,What is the radius of a metal atom if it crystallizes with body-centered lattice having a unit cell edge of 333 Pico meter?,0,"['1538.06 pm', '769.03 pm', '288.38 pm', '144.19 pm']",d,"For body-centered unit cells, the relation between radius of a particle ‘r’ and edge length of unit cell ‘a’ is given as \(\frac{\sqrt{3}}{4}\)a=r"
49,Solid State,Crystal Lattices & Unit Cells,How many parameters are used to characterize a unit cell?,0,"['Six', 'Three', 'Two', 'Nine']",a,"A unit cell is characterized by six parameters i.e. the three common edge lengths a, b, c and three angles between the edges that are α, β, γ. These are referred to as inter-axial lengths and angles, respectively. The position of a unit cell can be determined by fractional coordinates along the cell edges."
50,Solid State,Crystal Lattices & Unit Cells,What is each point (position of particle) in a crystal lattice termed as?,0,"['Lattice index', 'Lattice point', 'Lattice lines', 'Lattice spot']",a,"Each point of the particle’s position is referred to as ‘lattice point’ or ‘lattice site’. Every lattice point represents one constituent particle which may be an atom, ion or molecule."
51,Solid State,Crystal Lattices & Unit Cells,If a metal forms a FCC lattice with unit edge length 500 pm. Calculate the density of the metal if its atomic mass is 110.,0,"['2923 kg/m<sup>3</sup>', '5846 kg/m<sup>3</sup>', '8768 kg/m<sup>3</sup>', '1750 kg/m<sup>3</sup>']",b,Explanation:
52,Solid State,Unit Cell Atoms Number,"In primitive unit cubic cell, only _______ of an atom (or ion or molecule) belongs to a particular unit cell.",0,"['\\(\\frac{1}{4}\\)th', '\\(\\frac{1}{3}\\)rd', '\\(\\frac{1}{8}\\)th', '\\(\\frac{1}{2}\\)nd']",c,"In primitive unit cubic cell, each atom at the corner is shared between 8 adjacent unit cells. Thus, only \(\frac{1}{8}\)th of an atom (or ion or molecule) belongs to a particular unit cell."
53,Solid State,Unit Cell Atoms Number,The total number of atoms in one unit cell of primitive unit cubic cell is ______ atom(s).,0,"['1', '8', '4', '2']",a,"In primitive cubic unit cell, atoms are present only at the corner of the cell. Thus, in actual, only \(\frac{1}{8}\)th of an atom (or ion or molecule) belongs to a particular unit cell. Hence, the total number of atoms in primitive cubic unit cell = 8 × \(\frac{1}{8}\) = 1 atom."
54,Solid State,Unit Cell Atoms Number,The total number of atoms in one unit cell of body-centered unit cubic cell is ______ atoms.,0,"['4', '3', '8', '2']",d,"In body-centered cubic unit cell, one atom is present at each of the corners and one atom at its body center."
55,Solid State,Unit Cell Atoms Number,The total number of atoms in one unit cell of face-centered unit cubic cell is ______ atoms.,0,"['2', '6', '4', '8']",c,"In face-centered cubic unit cell, atoms are present at each of the corners and at the centre of the face of the cube."
56,Solid State,Close Packed Structures,In ______ constituent particles are closely packed leaving the least amount of vacant spaces.,0,"['plasma', 'liquids', 'solids', 'gases']",c,"In solids, the constituent particles tend to be closely packed due to strong forces between them. Hence, solids are stable and have a definite shape."
57,Solid State,Close Packed Structures,What is the coordination number for one-dimensional close packing?,0,"['2', '1', '4', '6']",a,"In one-dimensional close packing, the constituent particles are assumed to be arranged in a row. Thus, each constituent particle comes in contact with 2 of its neighbors and thereby giving the coordination number 2."
58,Solid State,Close Packed Structures,"In how many ways, can the two-dimensional close packed structure be generated?",0,"['3', '2', '1', '5']",b,Two-dimensional close packed structure can be generated using the one-dimensional close packed structures. This can be done in 2 ways:
59,Solid State,Close Packed Structures,What is the coordination number for a two-dimensional square close packed structure?,0,"['8', '4', '6', '2']",b,"In a two-dimensional square close packed structure, each sphere is in contact with 4 of its adjacent spheres. Hence, it has coordination number 4."
60,Solid State,Close Packed Structures,What is the coordination number for a two-dimensional hexagonal close packed structure?,0,"['4', '8', '12', '6']",d,"In a two-dimensional hexagonal close packed structure, each sphere is in direct contact with 6 of its adjacent spheres. Hence, it has coordination number 6."
61,Solid State,Close Packed Structures,Voids in two-dimensional hexagonal close packed structure are ___________ in shape.,0,"['', 'circular', 'rectangular', 'triangular', 'hexagonal']",c,Two-dimensional hexagonal close packed structure are formed when one row of a one-dimensional structure is placed below another in such a way that spheres of second row fit in the depressions of the first row and thereby creating triangular voids between them.
62,Solid State,Packing Efficiency,What does the ratio ‘space occupied/total space’ denote?,0,"['Packing factor', 'Packing efficiency', 'Particle fraction', 'Packing unit']",a,Packing factor is a fraction of total space of the unit cell occupied by the constituent particles.
63,Solid State,Packing Efficiency,What is the dimensional formula of packing fraction?,0,"['M<sup>0</sup>L<sup>3</sup>T<sup>0</sup>', 'M<sup>0</sup>L<sup>0</sup>T<sup>0</sup>', 'ML<sup>0</sup>T<sup>0</sup>', 'M<sup>0</sup>L<sup>2</sup>T<sup>0</sup>']",b,Packing fraction is a dimensionless quantity which is the ratio of space occupied to total crystal space available. Since both the quantities have the same units the ratio renders dimensionless.
64,Solid State,Packing Efficiency,Arrange the types of arrangement in terms of decreasing packing efficiency.,0,"['BCC &lt; Simple cubic &lt; CCP', 'HCP &lt; CCP &lt; BCC', 'HCP &lt; BCC &lt; Simple cubic', 'CCP &lt; BCC &lt; HCP']",c,HCP and CCP have the highest packing efficiency of 74% followed by BCC which is 68%. The simple cubic structure has a packing efficiency of 54%.
65,Solid State,Packing Efficiency,"If the body-centered unit cell is assumed to be a cube of edge length ‘a’ with spherical particles of radius ‘r’ then how is the diameter, d of particle and surface area, S of the cell related?",0,"['', 'S = 32d<sup>4</sup>/3', 'S = 2d<sup>2</sup>', 'S = 4d<sup>2</sup>', 'S = 8d<sup>2</sup>']",d,"For BCC unit cell the relation between radius of a particle ‘r’ and edge length of unit cell, a, is r = \(\frac{\sqrt{3}}{4}\)a."
66,Solid State,Packing Efficiency,Which of the following metals would have the highest packing efficiency?,0,"['Copper', 'Potassium', 'Chromium', 'Polonium']",a,Copper metal bears face-centered unit cells in its crystal structure. Potassium and chromium both have body-centered unit cells whereas polonium is the only known metal to bear a simple cubic structure. FCC structure has the highest efficiency.
67,Solid State,Packing Efficiency,“The packing efficiency can never be 100%”. Is this true or false?,0,"['False', 'True']",b,Packing efficiency can never be 100% because in packing calculations all constituent particles filling up the cubical unit cell are assumed to be spheres.
68,Solid State,Packing Efficiency,What are the percentages of free space in a CCP and simple cubic lattice?,0,"['52% and 74%', '48% and 26%', '26% and 48%', '74% and 52%']",c,"The packing efficiency in CCP and simple cubic lattice are 74% and 52%, respectively. Hence the corresponding free spaces will be 100% – 74% = 26% and 100% – 52% = 48%."
69,Solid State,Packing Efficiency,How many atoms surround the central atom present in a unit cell with the least free space available?,0,"['4', '6', '8', '12']",d,"FCC, CCP and HCP are unit cells with least free space available i.e. highest packing efficiency. The coordination number of given cells are 12."
70,Solid State,Packing Efficiency,If metallic atoms of mass 197 and radius 166 pm are arranged in ABCABC fashion then what is the surface area of each unit cell?,0,"['1.32 × 10<sup>6</sup> pm<sup>2</sup>', '1.32 × 10<sup>-18</sup>pm<sup>2</sup>', '2.20 × 10<sup>5</sup> pm<sup>2</sup>', '2.20 × 10<sup>-19</sup> pm<sup>2</sup>']",a,ABCABC arrangement is found in CCP.
71,Solid State,Packing Efficiency,"If copper, density = 9.0 g/cm<sup>3</sup> and atomic mass 63.5, bears face-centered unit cells then what is the ratio of surface area to volume of each copper atom?",0,"['0.0028', '0.0235', '0.0011', '0.0323']",b,"Density, d of unit cell is given by d = \(\frac{zM}{a^3N_A}\) "
72,Solid State,Unit Cells Dimensions,Aluminium crystallises in a face-centred cubic lattice. The edge length of the unit cell of aluminium is 4.05 x 10<sup>-10</sup>m. What is the density of aluminium? (Atomic mass of Al=27),0,"['2700 kg m<sup>-3</sup>', '3000 kg m<sup>-3</sup>', '2400 kg m<sup>-3</sup>', '2100 kg m<sup>-3</sup>']",a,"Given,"
73,Solid State,Unit Cells Dimensions,Gold (atomic mass 197 u) crystallises in a face-centred unit cell. What is its atomic radius if the edge length of the gold unit cell is 0.407 x 10<sup>-9</sup>m?,0,"['0.115 nm', '0.144 nm', '0.235 nm', '0.156 nm']",b,"Given,"
74,Solid State,Unit Cells Dimensions,A metal X has a BCC structure with nearest neighbor distance 365.9 pm. What is metal X if its density is 1.0016 g cm<sup>-3</sup>?,0,"['Aluminum', 'Magnesium', 'Sodium', 'Potassium']",c,"Given,"
75,Solid State,Unit Cells Dimensions,Lithium forms a BCC lattice with an edge length of 350 pm. The experimental density of lithium is 0.53 g cm<sup>-3</sup>. What is the percentage of missing lithium atoms? (Atomic mass of Lithium = 7 amu),0,"['97.7%', '95.4%', '4.6%', '2.3%']",d,"Given,"
76,Solid State,Unit Cells Dimensions,An element with cell edge of 288 pm has a density of 7.2 g cm<sup>-3</sup>. What type of structure does the element have if it’s atomic mass M=51.8 g mol<sup>-1</sup>?,0,"['Body-Centred Cubic (BCC)', 'Face-Centred Cubic (FCC)', 'Simple Cubic', 'Hexagonal Closed Packing (HCP)']",a,"Given,"
77,Solid State,Unit Cells Dimensions,The radius of an atom of an element is 55 pm. What is the edge length of the unit cell if it is body-centred cubic?,0,"['', '144.6 pm', '163.4 pm', '127.0 pm', '123.5 pm']",c,"Given,"
78,Solid State,Unit Cells Dimensions,An element of density 8.0 g/cm<sup>3</sup> forms an FCC lattice with unit cell edge of 300 pm. Calculate the number of atoms present in 0.5kg of the element.,0,"['95 x 10<sup>23</sup> atoms', '93.59 x 10<sup>23</sup> atoms', '92.59 x 10<sup>23</sup> atoms', '91.38 x 10<sup>23</sup> atoms']",c,"Given,"
79,Solid State,Unit Cells Dimensions,A metal crystallizes into two cubic phases BCC and FCC. The ratio of densities of FCC and BCC is equal to 1.5. Calculate the difference between the unit cell lengths of the FCC and BCC crystals if the edge length of the FCC crystal is equal to 4.0 Å.,0,"['0.5 Å', '0.37 Å', '28 Å', '0.73 Å']",b,"Given,"
80,Solid State,Unit Cells Dimensions,"If the radius of a Chloride ion is 0.154 nm, then what is the maximum size of a cation that can fit in each of its octahedral voids?",0,"['1.15 x 10<sup>-1</sup> nm', '1.21 x 10<sup>-1</sup> nm', '1.18 x 10<sup>-1</sup> nm', '1.13 x 10<sup>-1</sup> nm']",d,"Given,"
81,Solid State,Unit Cells Dimensions,"Rubidium Chloride (RbCl) has NaCl like structure at normal pressures. If the radius of the Chloride ion is 1.54 Å, what is the unit cell edge length for RbCl? (Assuming anion-anion contact)",0,"['4.25 Å', '4.78 Å', '4.32 Å', '5.14 Å']", ,"Given,"
82,Solid State,Solids Imperfections,What kind of order is present in a solid for it to be a perfectly crystalline solid?,0,"['Long range order', 'Short range order', 'No order', 'Both, short range and long range order']",d,Only short range order is a feature of amorphous solids. Crystalline solids exhibit both short and long range order. Crystalline solids are formed by repetitive arrangement of unit cells.
83,Solid State,Solids Imperfections,State whether true or false: The number of defects in a crystal can be minimized by carrying out the process of crystallization at a slow rate.,0,"['True', 'False']",a,"All big crystals have some or the other defects in the arrangement of their constituents. An ideal crystal does not exist. These defects are more if the crystallization process occurs at a faster rate. Hence, slowing down the process minimizes the defects. It is akin to starting with one crystal (unit) and adding to it from all sides to create a bigger crystal. Defects are produced due to some irregularity in this arrangement."
84,Solid State,Solids Imperfections,"In a crystal, if a fault exists in the arrangement at a point, it is called as _________",0,"['space defect', 'single defect', 'point defect', 'primary defect']",c,"When there is a fault in the arrangement of a constituent particle such as an atom, ion or molecule, and the fault exists at a point in the lattice structure, it is called as a point defect."
